"","year","month","day","gid"
"1",2017,"month_02/","day_22/","gid_2017_02_22_gcubbc_arimlb_1/"
"2",2017,"month_02/","day_23/","gid_2017_02_23_flsbbc_detmlb_1/"
"3",2017,"month_02/","day_23/","gid_2017_02_23_neubbc_bosmlb_1/"
"4",2017,"month_02/","day_23/","gid_2017_02_23_utabbc_phimlb_1/"
"5",2017,"month_02/","day_24/","gid_2017_02_24_balmlb_detmlb_1/"
"6",2017,"month_02/","day_24/","gid_2017_02_24_cinmlb_sfnmlb_1/"
"7",2017,"month_02/","day_24/","gid_2017_02_24_nynmlb_bosmlb_1/"
"8",2017,"month_02/","day_24/","gid_2017_02_24_phimlb_nyamlb_1/"
"9",2017,"month_02/","day_24/","gid_2017_02_24_tbamlb_minmlb_1/"
"10",2017,"month_02/","day_24/","gid_2017_02_24_uwmbbc_milmlb_1/"
"11",2017,"month_02/","day_25/","gid_2017_02_25_balmlb_pitmlb_1/"
"12",2017,"month_02/","day_25/","gid_2017_02_25_chamlb_lanmlb_1/"
"13",2017,"month_02/","day_25/","gid_2017_02_25_chnmlb_sfnmlb_1/"
"14",2017,"month_02/","day_25/","gid_2017_02_25_cinmlb_clemlb_1/"
"15",2017,"month_02/","day_25/","gid_2017_02_25_colmlb_arimlb_1/"
"16",2017,"month_02/","day_25/","gid_2017_02_25_houmlb_detmlb_1/"
"17",2017,"month_02/","day_25/","gid_2017_02_25_kcamlb_texmlb_1/"
"18",2017,"month_02/","day_25/","gid_2017_02_25_milmlb_anamlb_1/"
"19",2017,"month_02/","day_25/","gid_2017_02_25_minmlb_bosmlb_1/"
"20",2017,"month_02/","day_25/","gid_2017_02_25_nyamlb_phimlb_1/"
"21",2017,"month_02/","day_25/","gid_2017_02_25_oakmlb_chnmlb_1/"
"22",2017,"month_02/","day_25/","gid_2017_02_25_pitmlb_tbamlb_1/"
"23",2017,"month_02/","day_25/","gid_2017_02_25_seamlb_sdnmlb_1/"
"24",2017,"month_02/","day_25/","gid_2017_02_25_slnmlb_miamlb_1/"
"25",2017,"month_02/","day_25/","gid_2017_02_25_tormlb_atlmlb_1/"
"26",2017,"month_02/","day_25/","gid_2017_02_25_wasmlb_nynmlb_1/"
"27",2017,"month_02/","day_26/","gid_2017_02_26_anamlb_oakmlb_1/"
"28",2017,"month_02/","day_26/","gid_2017_02_26_arimlb_colmlb_1/"
"29",2017,"month_02/","day_26/","gid_2017_02_26_bosmlb_tbamlb_1/"
"30",2017,"month_02/","day_26/","gid_2017_02_26_clemlb_chnmlb_1/"
"31",2017,"month_02/","day_26/","gid_2017_02_26_colmlb_chamlb_1/"
"32",2017,"month_02/","day_26/","gid_2017_02_26_detmlb_nynmlb_1/"
"33",2017,"month_02/","day_26/","gid_2017_02_26_houmlb_atlmlb_1/"
"34",2017,"month_02/","day_26/","gid_2017_02_26_lanmlb_milmlb_1/"
"35",2017,"month_02/","day_26/","gid_2017_02_26_miamlb_slnmlb_1/"
"36",2017,"month_02/","day_26/","gid_2017_02_26_phimlb_tormlb_1/"
"37",2017,"month_02/","day_26/","gid_2017_02_26_pitmlb_balmlb_1/"
"38",2017,"month_02/","day_26/","gid_2017_02_26_sdnmlb_seamlb_1/"
"39",2017,"month_02/","day_26/","gid_2017_02_26_sfnmlb_cinmlb_1/"
"40",2017,"month_02/","day_26/","gid_2017_02_26_texmlb_kcamlb_1/"
"41",2017,"month_02/","day_26/","gid_2017_02_26_tormlb_nyamlb_1/"
"42",2017,"month_02/","day_26/","gid_2017_02_26_wasmlb_minmlb_1/"
"43",2017,"month_02/","day_27/","gid_2017_02_27_atlmlb_detmlb_1/"
"44",2017,"month_02/","day_27/","gid_2017_02_27_chamlb_chnmlb_1/"
"45",2017,"month_02/","day_27/","gid_2017_02_27_cinmlb_arimlb_1/"
"46",2017,"month_02/","day_27/","gid_2017_02_27_colmlb_lanmlb_1/"
"47",2017,"month_02/","day_27/","gid_2017_02_27_houmlb_nynmlb_1/"
"48",2017,"month_02/","day_27/","gid_2017_02_27_kcamlb_seamlb_1/"
"49",2017,"month_02/","day_27/","gid_2017_02_27_miamlb_minmlb_1/"
